16.01.2020                                                                                                       Dynamic List Display                                                                                                               1


	Order	Material	Material Description	Reqmt Date	Reqmts qty	Qty wthdrn	      Open	Unit	Backflush	Phant.item	Bulk Matl	Stg.Ind.	SupplyArea	Stge Type	StorageBin	PeggedReqt	Work ctr	Work center descr.
	201945004	1-1841787-7	566-891 CONTROLLER BOARD SX0180 PCB	22.07.2019	-1	-1	        0	PC	X				TFPMEC			1-1841771-5	570	TSP STANDARD ASSEMBLY
	201945004	1-1841787-9	566-907 SERVICE PORT BOARD SX0180 PCB	22.07.2019	-1	-1	        0	PC	X				TFPMEC			1-1841771-5	570	TSP STANDARD ASSEMBLY
	201945004	1-1841788-2	LD0067 LCD 06501436_A SX0180	22.07.2019	-1	-1	        0	PC	X				TFPMEC			1-1841771-5	570	TSP STANDARD ASSEMBLY
	201945394	1-1841765-6	PA1102B MX1 AS1668 FAN CONTROL DISPLAY	25.07.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841765-6	505	PCB PICKING
	201946425	1-1841769-4	PA1094 PCBA AS7240 PSU	05.08.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841769-4	518	PCBA TEST
	201946426	1-1841704-3	PA1063B PCBA CENTAUR II MAIN	05.08.2019	        3	        0	        3	PC	X			4	PCB	P10	P10-001	1-1841704-3	518	PCBA TEST
	201947768	1-1841703-6	PA1050B PCBA MX1 BENTEL PSU MONITOR	16.08.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841703-6	518	PCBA TEST
	201948013	1-1841704-0	PA1057B PCBA MX1 AS4428.3 LCD/KEYBD	20.08.2019	        2	        0	        2	PC	X			4	PCB	P10	P10-001	1-1841704-0	518	PCBA TEST
	201948221	1-1841704-3	PA1063B PCBA CENTAUR II MAIN	22.08.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841704-3	518	PCBA TEST
	201948315	1-1841704-0	PA1057B PCBA MX1 AS4428.3 LCD/KEYBD	22.08.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841704-0	518	PCBA TEST
	201949463	1-1841843-7	ME - FP0950 MX1 LOOP CARD KIT ASSEMBLY	03.09.2019	        1	        0	        1	PC	X			1	TFPMEC	914		1-1841843-7	570	TSP STANDARD ASSEMBLY
	201949855	1-1841703-6	PA1050B PCBA MX1 BENTEL PSU MONITOR	05.09.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841703-6	518	PCBA TEST
	201951218	1-1841705-0	PA1073B PCBA PSU2406 MONITOR 'FRED'	19.09.2019	        1	        0	        1	PC	X			0	PCB	151	PCBFG04C03	1-1841705-0	518	PCBA TEST
	201951898	1-1841705-9	PA1091B PCBA PIB	25.09.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841705-9	518	PCBA TEST
	201952644	1-1841704-2	PA1061B EMSP0804 UNTESTED DISPLY KBD	30.09.2019	        1	        0	        1	PC	X			0	PCB	151	PCB-KB	1-1841704-2	518	PCBA TEST
	201954179	1-1841704-0	PA1057B PCBA MX1 AS4428.3 LCD/KEYBD	15.10.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841704-0	518	PCBA TEST
	201954573	1-1841620-3	ME0205B ME QE90 DISPLAY KEYBOARD 8Z/3W	17.10.2019	        1	        0	        1	PC	X			0	PCB	151	PCBFG	1-1841620-3	518	PCBA TEST
	201958284	1-1841826-7	PA1127 T-GEN2 GRADE 2 8 ZONE EX	18.11.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841826-7	518	PCBA TEST
	201958324	1-1841767-6	PA1106 PCBA CENTAUR II DUAL 3G I/O BOARD	18.11.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841767-6	518	PCBA TEST
	201958413	1-1841705-0	PA1073B PCBA PSU2406 MONITOR 'FRED'	19.11.2019	        1	        0	        1	PC	X			0	PCB	151	PCBFG04C03	1-1841705-0	518	PCBA TEST
	201958414	1-1841826-1	PA1120 T-GEN 60 BOARD 1956-1-1	19.11.2019	        1	        1	        0	PC	X			4	PCB	P10	P10-001	1-1841826-1	518	PCBA TEST
	201958979	1-1841827-8	ME0550 T-GEN 120 C/W MTG	22.11.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841827-8	518	PCBA TEST
	201959084	2-1841009-5	203-2001 PCB EVO 4-8	21.11.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	2-1841009-5	505	PCB PICKING
	201961231	1-1841704-3	PA1063B PCBA CENTAUR II MAIN	11.12.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841704-3	518	PCBA TEST
	201961232	1-1841634-8	PA0897B STRM9502 STROBE/RELAY MODULE	11.12.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841634-8	518	PCBA TEST
	201961744	1-1841704-3	PA1063B PCBA CENTAUR II MAIN	16.12.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841704-3	518	PCBA TEST
	201961854	1-1841782-3	PA1088B PCBA CENTAUR II SLAVE	17.12.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841782-3	518	PCBA TEST
	200217338951	1-1700803-1	WIRE 4MM2 BLACK V-90HT	08.05.2018	       10	       10	        0	M	X			1	EAT01	914		3-1867279-1	910	EATON ASSEMBLY CABINETS
	200217338951	6-1700800-3	FERRULE 4MM2 12MM LONG GREY	08.05.2018	        5	        5	        0	PC	X			4	EAT01	E10	E10-001	3-1867279-1	910	EATON ASSEMBLY CABINETS
	200217338951	1-1700801-9	RING M6 2.7-6.6MM2 YELLOW	08.05.2018	        5	        5	        0	PC	X			1	EAT01	914		3-1867279-1	910	EATON ASSEMBLY CABINETS
	200217338951	8-1700809-3	LABEL BLANK CABLE MARKER FOR Z	08.05.2018	       10	       10	        0	PC	X			4	EAT01	E10	E10-001	3-1867279-1	910	EATON ASSEMBLY CABINETS
	200217338951	5507832055	ATUM-9/3-0-STK	08.05.2018	    0.250	    0.250	        0	M	X			4	EAT01	E10	E10-001	3-1867279-1	910	EATON ASSEMBLY CABINETS
	200217390519	1-1841834-4	PB1133 T-GEN V2 HLI BOARD	24.09.2019	        4	        0	        4	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	795492-6	VHR-4N JST Housing 4P	24.09.2019	        2	        0	        2	PC	X			1	TFPMEC	914		1-1841596-5	520	TSP STANDARD TEST
	200217390519	1-1841025-5	CN0020  - USE  1-1776296-2 now	24.09.2019	        0	        0	        0	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1868720-1	LM0327 1.00APP YEL 750MM JSTVH - JSTVH	24.09.2019	        1	        0	        1	PC	X			4	TFPMEC	T10	T10-001	1-1841596-5	520	TSP STANDARD TEST
	200217390519	1-1841710-2	CA0642 ELEC 50V 0.72A D8H12P3.5 100U	24.09.2019	       40	        0	       40	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1868721-1	LM0328 1.00APP BLK 750MM JSTVH - JSTVH	24.09.2019	        1	        0	        1	PC	X			1	TFPMEC	914		1-1841596-5	520	TSP STANDARD TEST
	200217390519	1-1841047-7	CN0492 RJ11 VERT PCB SOCKET 4 POSN	24.09.2019	       20	        0	       20	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1868722-1	LM0329 1.00APP ORG 750MM JSTVH - JSTVH	24.09.2019	        1	        0	        1	PC	X			4	TFPMEC	T10	T10-001	1-1841596-5	520	TSP STANDARD TEST
	200217390519	640456-4	04P MTA100 HDR ASSY F/L SQ STR	24.09.2019	       20	        0	       20	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1868723-1	LM0330 1.00APP RED 750MM JSTVH - JSTVH	24.09.2019	        1	        0	        1	PC	X			1	TFPMEC	914		1-1841596-5	520	TSP STANDARD TEST
	200217390519	1-1841245-4	LD0012 LED 5MM RED CLEAR 80MCD MIN	24.09.2019	       50	        0	       50	PC	X			4	TFPMEC	P10	P10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841537-5	SW0061 SW TOGGLE 1P2T C&K 7101C	24.09.2019	       20	        0	       20	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841823-4	FA3028 T-GEN2 GRADE 2 UI LED	24.09.2019	        2	        0	        2	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841823-5	LB0684 GRADE 2/3 EWS UI 3U DR	24.09.2019	        3	        0	        3	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841402-3	SC0172 PH PHIL M3X6 SPRNG&FLT WSHR MACH	24.09.2019	       50	        0	       50	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841733-2	FA2630 FA MX1 12XAS1668 CONTROLS FOR 3U	24.09.2019	        1	        0	        1	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841823-4	FA3028 T-GEN2 GRADE 2 UI LED	24.09.2019	        5	        0	        5	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	5-1869792-1	734-008 SXU PWR COMMS 4W 2FT	24.09.2019	        3	        0	        3	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841402-3	SC0172 PH PHIL M3X6 SPRNG&FLT WSHR MACH	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841651-7	FA2542 MX1 LOOP CARD VERTICAL MTG BRCKT	24.09.2019	        1	        0	        1	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	5-1869792-1	734-008 SXU PWR COMMS 4W 2FT	24.09.2019	        2	        0	        2	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841103-6	FA2016 HEX BARREL NUT M3X10MM BRASS	24.09.2019	       10	        0	       10	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841167-8	HW0052 PCB STANDOFF DBLE BARB 7.7MM	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841174-3	HW0209 PCB STANDOFF PBR06	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841250-4	LM0084 FRC 10W STYLE B 350MM	24.09.2019	        2	        0	        2	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841402-3	SC0172 PH PHIL M3X6 SPRNG&FLT WSHR MACH	24.09.2019	       10	        0	       10	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841402-6	SC0176 PH PHIL M4X10 SPRNG&FLT WSHR MACH	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841561-1	WA0005 FLAT M3 ZP 7MM O M3X7X0.6MM THICK	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841359-6	PK0001 POLYBAG ZIPTOP 75X100	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841359-9	PK0004 POLYBAG ZIPTOP 230X305	24.09.2019	       10	        0	       10	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841731-1	LD0060 LED SMT 3216 180MCD RED 50 DEG	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841731-2	LD0061 LED SMT 3216 70MCD GRN 50 DEG	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841731-3	LD0062 LED SMT 3216 70MCD YEL 50 DEG	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841196-9	IC0413 DS1232LP LOW POWER MICROMONITOR	24.09.2019	        2	        0	        2	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	361222-1	M4809 22-30AWG TIN	24.09.2019	       25	        0	       25	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	361338-1	HST100M/1000 C/Tie 100x2.5	24.09.2019	    1,000	        0	    1,000	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841596-5	LM0317B MX1 BENTEL DC PSU TO MAIN BD	24.09.2019	        1	        0	        1	PC		X			TFPMEC			9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1869129-1	LM0127 (C) PSU2406 MAINS TSP	24.09.2019	        4	        0	        4	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841375-0	RR0024 RES 0.6W 1% 50PPM D2.5 P10MM 180E	24.09.2019	      100	      100	        0	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841376-3	RR0037 RES 0.6W 1% 50PPM D2.5 P10MM 2K20	24.09.2019	      100	      100	        0	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841376-7	RR0041 RES 0.6W 1% 50PPM D2.5 P10MM 4K70	24.09.2019	      100	      100	        0	PC	X			1	TFPMEC	914		9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841377-5	RR0049 RES 0.6W 1% 50PPM D2.5 P10MM 22K0	24.09.2019	      100	      100	        0	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841103-4	FA2003 FA VIGIL TERMINAL BLOCK (N)	24.09.2019	       10	        0	       10	PC	X			1	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841376-4	RR0038 RES 0.6W 1% 50PPM D2.5 P10MM 2K70	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	P10	P10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1841376-4	RR0038 RES 0.6W 1% 50PPM D2.5 P10MM 2K70	24.09.2019	      100	        0	      100	PC	X			4	TFPMEC	P10	P10-001	9-1841998-5	520	TSP STANDARD TEST
	200217390519	1-1776296-2	TSB5001231DS=EUROPA T-BLK,10MM	24.09.2019	       20	        0	       20	PC	X			4	TFPMEC	T10	T10-001	9-1841998-5	520	TSP STANDARD TEST
	200217445307	KMAH1-11-1-C-S1-HE	KMAH1-11-1-C-S1-HE	23.05.2018	        0	        0	        0	PC	X							6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	9-1700097-4	1682906 CONNECTOR	23.05.2018	        8	        0	        8	PC	X			1		914		6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	YDTS20F11-35SNC001	RECP ASSY	23.05.2018	        8	        0	        8	PC	X			4		H20	H20-001	6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	9-1700097-4	1682906 CONNECTOR	23.05.2018	       16	        0	       16	PC	X			1		914		6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	38943-22L	CONT SOC ASSY	23.05.2018	      108	        0	      108	PC	X			1		914		6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	6641710001	TMS-SCE-1/4-2.0-9	23.05.2018	       29	        0	       29	PC	X			4		H20	H20-001	6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217445307	AAB1634-00	91H1-11-08-1-C-HE200	23.05.2018	        8	        0	        8	PC	X			4	RLAB	R10	R10-001	6-1866411-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700099-0	FLUX SMD29130CC	18.06.2018	    0.500	        0	    0.500	G	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700097-7	MACROMELT OM 648	18.06.2018	    0.020	    0.020	        0	KG	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	KMAH1-15-1-C-S1-HE	KMAH1-15-1-C-S1-HE	18.06.2018	        1	        0	        1	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	CQ55243001	EPD120209A	18.06.2018	    2.060	    2.060	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	8-1700098-0	M27500-22TG3T14 WIRE	18.06.2018	    6.180	    6.180	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	8-1700098-1	M27500-22TG4T14 WIRE	18.06.2018	    3.090	    3.090	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	2-1700098-8	M27500-24TG2T14	18.06.2018	    5.150	    5.150	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	8-1700098-3	M27500-24TG3T14 WIRE	18.06.2018	    8.570	    8.570	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	4-1700098-5	99-0425-75-08 BINDER 8W RA	18.06.2018	        1	        1	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	YDTS26F15-35SNC001	PLUG ASSY	18.06.2018	        1	        1	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700098-0	M300-2240696F2 CONNECTOR	18.06.2018	        4	        4	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	1-1700098-8	DD44S00000/AA 44W RECEPTICAL	18.06.2018	        1	        1	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	38943-22L	CONT SOC ASSY	18.06.2018	       39	       39	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700097-1	M300-0020045	18.06.2018	       31	       31	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	2-1700098-0	FC8022D2/AA SIZE 22 SOCKET	18.06.2018	       46	       46	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700097-9	COPPER TAPE 1181 19MMX16.5M-DO NOT USE	18.06.2018	        1	        0	        1	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	1-1841769-8	KAPTON TAPE HI-TEMP 19MM-DO NOT USE	18.06.2018	        0	        0	        0	PC	X				RLAB			6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	5273550001	TMS-SCE-3/16-2.0-9	18.06.2018	       10	       10	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	6641710001	TMS-SCE-1/4-2.0-9	18.06.2018	        2	        2	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	9-1700097-0	M300-2250396F2	18.06.2018	        2	        2	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	2-1700098-9	M27500-22TG2T14	18.06.2018	    0.515	    0.515	        0	M	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	5-1700098-3	M300-3250396M1 CONNECTOR	18.06.2018	        1	        1	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	6-1700098-2	M300-1020045 CONTACT	18.06.2018	        3	        3	        0	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217554227	4-1700100-3	COPPER TAPE 1181 19MM X 16.5M	18.06.2018	        1	        0	        1	PC	X			4	RLAB	R10	R10-001	6-1866415-1	250	ASSEMBLY TEAM 3 - Rocket Lab
	200217749499	1-608694-0	CABLE TIE,#10 SCR.MT,BLK,100PK	06.09.2019	       41	        0	       41	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	2-361333-3	HST100M-BK/100 C/Tie 100x2.5	06.09.2019	      219	        0	      219	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	500030-1	SPIRAP 1/4" PE, OUTDR,BLK,50FT	06.09.2019	   79.075	        0	   79.075	FT	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	200821-1	CMNL KEYING PLUG	06.09.2019	       91	        0	       91	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	A37049-000	HM-762508-2.5-8A	06.09.2019	       13	        0	       13	PC	X			4		010	OFFICE	1972886-2	296	CABINET ASSEMBLY
	200217749499	1972546-2	CABLE ASSY EARTH STRAP 230 mm	06.09.2019	       13	        0	       13	PC	X			4		I10	I10-001	1972886-2	296	CABINET ASSEMBLY
	200217749499	1972546-1	CABLE ASSY EARTH STRAP 150 mm	06.09.2019	       26	        0	       26	PC	X			4		I10	I10-001	1972886-2	296	CABINET ASSEMBLY
	200217749499	1-1700033-1	33 X 15MM WHITE LABEL	06.09.2019	       63	        0	       63	PC	X			4		010	OFFICE	1972886-2	296	CABINET ASSEMBLY
	200217749499	1972654-1	SCREW CHEESE HEAD NYLON M4x25	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972653-1	INSULATING PLATE	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972650-1	CONVERTER VE-JN4-EZ-B1	06.09.2019	       13	        0	       13	PC	X			4		I10	I10-001	1972886-2	296	CABINET ASSEMBLY
	200217749499	1972651-1	CONVERTER COVER 18952	06.09.2019	       13	        0	       13	PC	X			4		I10	I10-001	1972886-2	296	CABINET ASSEMBLY
	200217749499	1972881-1	RELAY BASE AND CLIP	06.09.2019	       26	        0	       26	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972544-3	WASHER SPRING M5 304 SS	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972569-1	SCREW M5x12 CHEESE HEAD 304 SS	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972564-2	BUSBAR 3-WAY SAK 6N	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972566-1	FIXING SCREW M3 x 6	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972565-1	BUSBAR 4-WAY SAKS 1	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972522-1	FUSE 16 AMP	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972515-2	FUSE 2A MEDIUM BLOW	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972519-1	END PLATE SAK 4-10	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972518-1	END BRACKET EWK 1	06.09.2019	       39	        0	       39	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972524-1	FUSE TERMINAL SAKS 4	06.09.2019	       13	        0	       13	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972516-1	FUSE TERMINAL SAKS 1	06.09.2019	       52	        0	       52	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
	200217749499	1972520-1	FEED TROUGH TERMINAL SAK 6N	06.09.2019	       39	        0	       39	PC	X			1		914		1972886-2	296	CABINET ASSEMBLY
